Store,Name,Store Status,Address,City,State,Zip Code,Store Address,Report Date
010261,AVENUE G STORE / COUNCIL BLUFFS,A,1602 AVENUE G,COUNCIL BLUFFS,IA,51501,POINT (-95.868007008 41.268345002),11/01/2023
4191,FAREWAY STORES #995 / PELLA,A,2010 WASHINGTON ST,PELLA,IA,50219,POINT (-92.941820991 41.413265006),11/01/2023
5268,THE DEPOT ATKINS,A,"188, PARKRIDGE RD",ATKINS,IA,52206,POINT (-91.862706026 41.992304983),11/01/2023
5929,D&T'S / ODEBOLT,I,417 1ST ST,ODEBOLT,IA,51458,POINT (-95.255976028 42.313622014),11/01/2023
6150,THE DEPOT GILMAN,A,102 S. ELM ST.,GILMAN,IA,50106,POINT (-92.785956987 41.879548017),11/01/2023
6059,CASEY'S GENERAL STORE #1793 / IOWA FALLS,A,1801 WASHINGTON AVE,IOWA FALLS,IA,50126,POINT (-93.279911006 42.519360982),11/01/2023
3990,CORK AND BOTTLE / OSKALOOSA,A,309 A AVE WEST,OSKALOOSA,IA,52577,POINT (-92.648202 41.296521021),11/01/2023
4492,CASEY'S GENERAL STORE #2773 / CEDAR RAPIDS,A,3625 EDGEWOOD RD SW,CEDAR RAPIDS,IA,52404,POINT (-91.715276731 41.942329184),11/01/2023
010088,OREGON SPIRIT DISTILLERS / SAMPLE,I,740 NE 1ST ST,BEND,OR,97701,POINT (-121.305269972 44.057678009),11/01/2023
6097,BREW OIL #51 / SANBORN,A,101 W 7TH ST,SANBORN,IA,51248,POINT (-95.656174019 43.185745),11/01/2023
5126,PRICE CHOPPER  /  MERLE HAY #1315,I,4343 MERLE HAY RD,DES MOINES,IA,50310,POINT (-93.695263981 41.637672988),11/01/2023
5548,CASEY'S GENERAL STORE #2628 / LAKE CITY,A,1001 W MAIN ST,LAKE CITY,IA,51449,POINT (-94.744320016 42.266951996),11/01/2023
4694,RINA MART LLC / DAVENPORT,A,3815 WEST KIMBERLY ROAD,DAVENPORT,IA,52806,POINT (-90.63169396 41.561321016),11/01/2023
5453,CASEY'S GENERAL STORE # 2817/ GRISWOLD,A,900 MAIN ST.,GRISWOLD,IA,51535,POINT (-95.136971024 41.234315984),11/01/2023
5358,KUM & GO #1056/ BEVINGTON,A,101 E IA HWY 92,BEVINGTON,IA,50033,POINT (-93.792749815 41.359821733),11/01/2023
9042,"AMERICAN HERITAGE DISTILLERS, LLC (ET)",I,PO BOX 1317,SPENCER,IA,51301,POINT (-95.145275 43.14832),11/01/2023
4359,KUM & GO #75 / WAUKEE,A,350 SE UNIVERSITY AVENUE,WAUKEE,IA,50263,POINT (-93.865616021 41.599712983),11/01/2023
5773,CASEY'S GENERAL STORE #2239 / INDEPENDENCE,A,1200 5TH AVE NE,INDEPENDENCE,IA,50644,POINT (-91.888897965 42.48001),11/01/2023
5148,MAIN ST MARKET  /  HOLY CROSS,I,"882, MAIN ST",HOLY CROSS,IA,52053,POINT (-90.995655978 42.600988984),11/01/2023
5608,CASEY'S GENERAL STORE #2634 / EDGEWOOD,A,200 W UNION ST,EDGEWOOD,IA,52042,POINT (-91.402682034 42.644167017),11/01/2023
5990,CASEY'S GENERAL STORE #1610 / KNOXVILLE,A,203 S LINCOLN ST,KNOXVILLE,IA,50138,POINT (-93.108792022 41.317688008),11/01/2023
5246,CASEY'S GENERAL STORE #3476 / FOREST,A,1132 HWY  69 SOUTH,FOREST CITY,IA,50436,POINT (-93.634336872 43.255726432),11/01/2023
3930,KUENNEN'S LIQUOR STORE,A,106 W MAINS ST PO BOX 142,ST LUCAS,IA,52166,POINT (-91.93384701 43.066768997),11/01/2023
4673,SONNY'S SUPER MARKET / WEST POINT,A,327 5TH ST,WEST POINT,IA,52656,POINT (-91.452125037 40.717879017),11/01/2023
5322,AVOCA FOOD LAND,A,212 WEST WOOD ST.,AVOCA,IA,51521,POINT (-95.338340968 41.488128016),11/01/2023
2621,HY-VEE FOOD STORE #3 / SIOUX CITY,A,3301 GORDON DR,SIOUX CITY,IA,51105,POINT (-96.362866022 42.488984001),11/01/2023
5195,CASEY'S GENERAL STORE #3203 / COUNCI,A,"1928, SHERWOOD DR",COUNCIL BLUFFS,IA,51530,POINT (-95.811887987 41.278889017),11/01/2023
010157,SA TOBACCO LIQUOR MART / CLINTON,A,320 N 4TH ST,CLINTON,IA,52732,POINT (-90.193580012 41.848415994),11/01/2023
5716,BIG 10 MART #69,A,2480 EAST 53RD,BETTENDORF,IA,52722,POINT (-90.498018028 41.575682988),11/01/2023
4907,PRIME MART / CEDAR FALLS,A,2323 MAIN ST,CEDAR FALLS,IA,50613,POINT (-92.446311038 42.516253014),11/01/2023
4872,CASEY'S GENERAL STORE #2644 / EARLHAM,A,975 N CHESTNUT AVE,EARLHAM,IA,50072,POINT (-94.12347827 41.50230653),11/01/2023
6200,HY-VEE C STORE / MT. PLEASANT,A,1702 EAST WASHINGTON STREET,MOUNT PLEASANT,IA,52641,POINT (-91.528301672 40.962093812),11/01/2023
6211,MCELROY'S FOOD / WINTHROP,I,135 MADISON STREET,WINTHROP,IA,50682,POINT (-91.732470026 42.473255988),11/01/2023
4252,FAREWAY STORES #840 / MONTICELLO,A,433 NORTH FARLEY STREET,MONTICELLO,IA,52310,POINT (-91.191546 42.241644013),11/01/2023
6247,MINI MART #3 / CHARLES CITY,A,1200 N GRAND AVE,CHARLES CITY,IA,50616,POINT (-92.672009036 43.075295991),11/01/2023
010120,BP / WELTON,A,2576 190TH STREET,WELTON,IA,52774,POINT (-90.591619998 41.902480988),11/01/2023
6242,WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,A,375 SOUTH JORDAN CREEK PARKWAY,WEST DES MOINES,IA,50266,POINT (-93.810554963 41.563474998),11/01/2023
6005,CASEY'S GENERAL STORE #2865 / CEDAR FALLS,A,5908 NORDIC DR,CEDAR FALLS,IA,50613,POINT (-92.446936999 42.484651018),11/01/2023
6027,EDDYVILLE TRAVEL PLAZA BP,A,500 S MERINO AVE,EDDYVILLE,IA,52553,POINT (-92.629584033 41.15410599),11/01/2023
5300,YESWAY STORE # 10013/ OTTUMWA,A,534 CHURCH ST,OTTUMWA,IA,52501,POINT (-92.419439998 41.008292013),11/01/2023
5926,GOPUFF / IOWA CITY,A,1907 STEVENS DR  UNITS C-E,IOWA CITY,IA,52240,POINT (-91.534775631 41.641707784),11/01/2023
5514,JOHNCY'S LIQUOR STORE,A,585 HWY 965 STE D & E,NORTH LIBERTY,IA,52317,POINT (-91.608452476 41.738079051),11/01/2023
5968,CASEY'S GENERAL STORE #1496 / RED OAK,A,201 N. BROADWAY ST,RED OAK,IA,51566,POINT (-95.233077004 41.006838005),11/01/2023
5659,CASEY'S GENERAL STORE #3679 / STORM LAKE,A,207 E MILWAUKEE AVE,STORM LAKE,IA,50588,POINT (-95.198905997 42.647784982),11/01/2023
5890,WESTSIDE HOUSER MART / MUSCATINE,A,2201 HOUSER ST,MUSCATINE,IA,52761,POINT (-91.07991003 41.436535014),11/01/2023
6165,STRAWBERRY FOOD,A,128 W MISSION ST,STRAWBERRY POINT,IA,52076,POINT (-91.535942979 42.683514982),11/01/2023
3045,BRITT FOOD CENTER,A,8 2ND ST NW,BRITT,IA,50423,POINT (-93.802630964 43.09902101),11/01/2023
5421,YESWAY # 1009/ HARLAN,A,618 DURANT STREET,HARLAN,IA,51537,POINT (-95.318509971 41.657070011),11/01/2023
4774,CASEY'S GENERAL STORE #3034 / ESTHERVILLE,A,"1615, CENTRAL AVE",ESTHERVILLE,IA,51334,POINT (-94.822104999 43.402529011),11/01/2023
2597,HY-VEE FOOD STORE / CHEROKEE,A,1300 N. SECOND,CHEROKEE,IA,51012,POINT (-95.551000999 42.765593008),11/01/2023
5619,CASEY'S GENERAL STORE #3041 / ELK RUN HEIGHTS,A,5202 LAFAYETTE RD,ELK RUN HEIGHTS,IA,50707,POINT (-92.258047039 42.468750003),11/01/2023
6321,COLONY POINT FUEL & GAS - WILLIAMSBURG,A,333 220TH STREET,WILLIAMSBURG,IA,52361,POINT (-92.026867358 41.687673995),11/01/2023
4992,OLD 34 GAS & GRILL,I,305 US 34 BUSINESS,DANVILLE,IA,52623,POINT (-91.315920506 40.8345984),11/01/2023
4419,KUM & GO #4 / LAMONI,A,2091 E MAIN ST,LAMONI,IA,50140,POINT (-93.896766023 40.623206008),11/01/2023
4511,SUPER QUICK / SE 30 DM,A,303 SE 30TH ST,DES MOINES,IA,50317,POINT (-93.557965976 41.58525399),11/01/2023
2578,HY-VEE / CHARLES CITY,A,901 KELLY ST,CHARLES CITY,IA,50616,POINT (-92.675145042 43.067212986),11/01/2023
3928,SMOKIN' JOE'S #12 TOBACCO AND LIQUOR OUTLET,A,465 HWY 965 UNIT G,NORTH LIBERTY,IA,52317,POINT (-91.608399167 41.739412403),11/01/2023
4685,KWIK STOP FOOD MART,I,2360 CENTRAL,DUBUQUE,IA,52001,POINT (-90.672446019 42.515959019),11/01/2023
010278,SHELLSBURG QUICK STOP / SHELLSBURG,A,101 MAIN STREET SOUTHEAST,SHELLSBURG,IA,52332,POINT (-91.875337235 42.094597315),11/01/2023
9904,RNDC (BROKER),I,15920 HICKMAN ROAD STE. 400 PMB 425,CLIVE,IA,50325,POINT (-93.837085028 41.614022987),11/01/2023
5793,CASEY'S GENERAL STORE #1265 / SIBLEY,A,702 2ND AVE,SIBLEY,IA,51249,POINT (-95.751285989 43.401406004),11/01/2023
4493,CASEY'S GENERAL STORE #2850 / CEDAR RAPIDS,A,5655 C ST SW,CEDAR RAPIDS,IA,52404,POINT (-91.636378547 41.922535152),11/01/2023
5734,FAREWAY STORES #193 / TIFFIN,A,500 CROELL AVENUE,TIFFIN,IA,52340,POINT (-91.656243406 41.707860069),11/01/2023
5114,CASEY'S GENERAL STORE #2612 / MISSOU,A,"106, E  ERIE ST",MISSOURI VALLEY,IA,51555,POINT (-95.894313024 41.555907019),11/01/2023
3629,WAL-MART 1965 / COUNCIL BLUFFS,A,3200 MANAWA DR,COUNCIL BLUFFS,IA,51503,POINT (-95.847567017 41.227223317),11/01/2023
5744,CASEY'S GENERAL STORE #1624 / WASHINGTON,A,1002 W MADISON ST,WASHINGTON,IA,52353,POINT (-91.70411497 41.29696698),11/01/2023
6345,ROUND WINDOW LIQUOR / KNOXVILLE,A,701 WEST PLEASANT STREET,KNOXVILLE,IA,50138,POINT (-93.105722989 41.320964997),11/01/2023
9941,S&B FARMS DISTILLERY (SAMPLE),I,212 E RAMSEY ST.,BANCROFT,IA,50517,POINT (-94.215413963 43.292789992),11/01/2023
4744,WALGREENS #03875 / CEDAR RAPIDS,A,2821 1ST AVE SE,CEDAR RAPIDS,IA,52402,POINT (-91.634280724 42.005652325),11/01/2023
4578,CASEY'S GENERAL STORE #2592 / FARMINGTON,A,201 S 4TH ST,FARMINGTON,IA,52626,POINT (-91.739643007 40.640047011),11/01/2023
5876,'DA BOOZE BARN / WEST BEND,A,108 S BROADWAY,WEST BEND,IA,50597,POINT (-94.444878034 42.959230981),11/01/2023
2846,CVS PHARMACY #8443 / CEDAR RAPIDS,A,3419 16TH AVE SW,CEDAR RAPIDS,IA,52404,POINT (-91.716615153 41.96321718),11/01/2023
4548,CASEY'S GENERAL STORE #2594 / WALKER,A,401 GRANT ST,WALKER,IA,52352,POINT (-91.781987041 42.283466986),11/01/2023
010003,TOP SHELF LIQUOR / IOWA CITY,A,412 HIGHWAY 1,IOWA CITY,IA,52246,POINT (-91.540728892 41.65487474),11/01/2023
4888,CIRCLE S BLUFF STOP,A,302 1ST ST,SERGEANT BLUFF,IA,51054,POINT (-96.36143104 42.399908007),11/01/2023
6237,SMOKIN' JOE'S TOBACCO & LIQUOR OUTLET #03 / CLINTON,A,902 NORTH 2ND STREET,CLINTON,IA,52732,POINT (-90.186780025 41.85389998),11/01/2023
4279,KEOTA EAGLE FOODS,A,217 E BROADWAY,KEOTA,IA,52248,POINT (-91.95273697 41.36411801),11/01/2023
3723,J D SPIRITS LIQUOR,A,1023  9TH ST,ONAWA,IA,51040,POINT (-96.095582971 42.025913984),11/01/2023
4067,FREEMAN FOODS,A,268 8TH AVE,WELLMAN,IA,52356,POINT (-91.83752 41.46501802),11/01/2023
5711,CASEY'S GENERAL STORE #2864/EVANSDALE,A,1038 RIVER FOREST ROAD,EVANSDALE,IA,50707,POINT (-92.298400035 42.463696009),11/01/2023
5086,"CENTRAL MART I, LLC.",A,2501 FLOYD BLVD,SIOUX CITY,IA,51106,POINT (-96.38540102 42.516393998),11/01/2023
5850,CASEY'S GENERAL STORE #2684 - DURANT,A,504 5TH STREET,DURANT,IA,52747,POINT (-90.91258897 41.601396991),11/01/2023
5844,CASEY'S GENERAL STORE #3826 - ADEL,A,1738 NILE KINNICK S.,ADEL,IA,50003,POINT (-94.013955004 41.600796008),11/01/2023
010107,SWEET WATER SPIRITS LLC / CLARION,A,310 CENTRAL AVENUE EAST,CLARION,IA,50255,POINT (-93.730104032 42.731452008),11/01/2023
5410,UMIYA FOODMART INC,A,318 E NORTH ST.,TRURO,IA,50257,POINT (-93.843053027 41.209447003),11/01/2023
6184,BP TO GO - 1581 / CEDAR RAPIDS,I,1581 1ST AVENUE,CEDAR RAPIDS,IA,52402,POINT (-91.649477366 41.98916311),11/01/2023
5416,DEPOT LIQUOR & GROCERY,I,114 N CENTER ST.,MARSHALLTOWN,IA,50158,POINT (-92.91340198 42.051667004),11/01/2023
4780,CASEY'S GENERAL STORE #3043 / BRITT,A,"576, N MAIN AVE",BRITT,IA,50423,POINT (-93.802549994 43.101818009),11/01/2023
5570,CASEY'S GENERAL STORE #2776 / CEDAR RAPIDS,A,701 ELLIS BLVD NW,CEDAR RAPIDS,IA,52405,POINT (-91.681605536 41.979463404),11/01/2023
3056,SUPER FOODS / CLARION,I,325 CENTRAL AVE W,CLARION,IA,50525,POINT (-93.735843037 42.732235004),11/01/2023
